deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.24873018;56.56216431;-0.00451125;0.00430355;-0.01229520;-0.00037073;-0.00064813;-0.00144036 
0.24707556;56.80923986;-0.00446287;0.00428718;-0.01217803;-0.00035871;-0.00085641;0.00272534 
0.25392199;57.06316185;-0.00445325;0.00428727;-0.01215449;-0.00008850;-0.00078748;0.00170123 
0.26898003;57.33214188;-0.00446999;0.00426558;-0.01209931;-0.00017722;-0.00062674;0.00050854 
0.22796226;57.56010413;-0.00447969;0.00426941;-0.01190838;0.00038698;-0.00004547;0.00185995 
0.24979424;57.80989838;-0.00454363;0.00427700;-0.01174673;-0.00118783;-0.00065972;0.00197628 
0.25423789;58.06413627;-0.00450661;0.00427964;-0.01171552;-0.00049362;-0.00077438;0.00070781 
0.24596453;58.31010079;-0.00449459;0.00430686;-0.01159696;0.00054588;-0.00043213;0.00143768 
0.26025772;58.57035851;-0.00450681;0.00436120;-0.01153367;-0.00005579;-0.00006306;0.00138110 
0.23988104;58.81023955;-0.00449094;0.00438526;-0.01148318;-0.00013945;-0.00073922;0.00146503 
0.25387239;59.06411195;-0.00456330;0.00442778;-0.01144749;0.00063929;-0.00085174;0.00096315 
0.24783635;59.31194830;-0.00460031;0.00443903;-0.01136887;-0.00067646;-0.00036136;0.00072155 
0.24723339;59.55918169;-0.00464402;0.00441370;-0.01132018;0.00004101;-0.00107355;0.00132903 
0.25496507;59.81414676;-0.00459042;0.00439157;-0.01127231;-0.00038800;-0.00087986;0.00069306 
0.23493266;60.04907942;-0.00459754;0.00439429;-0.01123117;-0.00026679;-0.00090070;0.00104161 
0.24770570;60.29678512;-0.00467229;0.00442057;-0.01115339;-0.00010370;0.00000027;0.00063783 
0.24248290;60.53926802;-0.00468304;0.00445270;-0.01104075;0.00027346;-0.00138270;0.00245914 
0.24585438;60.78512239;-0.00476238;0.00445888;-0.01096852;0.00040816;-0.00123412;0.00440735 
0.24778843;61.03291082;-0.00475297;0.00444903;-0.01095871;0.00064811;-0.00125702;0.00272670 
0.24520350;61.27811432;-0.00475296;0.00446369;-0.01085817;-0.00022396;-0.00003864;0.00356968 
0.24440479;61.52251911;-0.00475008;0.00447491;-0.01077311;0.00036219;-0.00029661;-0.00012741 
0.25081325;61.77333236;-0.00470097;0.00449482;-0.01077668;-0.00024814;-0.00111473;0.00086482 
0.24618387;62.01951623;-0.00467273;0.00449237;-0.01067245;0.00066582;-0.00037277;0.00101424 
0.23972106;62.25923729;-0.00467476;0.00443395;-0.01056225;0.00001166;-0.00079333;0.00084879 
0.24769521;62.50693250;-0.00466191;0.00448673;-0.01050704;0.00008493;-0.00081726;0.00035150 
0.24704289;62.75397539;-0.00467508;0.00448749;-0.01039868;0.00016448;-0.00045809;0.00192866 
0.24637103;63.00034642;-0.00468338;0.00452391;-0.01034540;-0.00009272;-0.00043614;0.00138068 
0.24673724;63.24708366;-0.00466450;0.00459344;-0.01032721;0.00045275;-0.00061662;0.00067598 
0.25185847;63.49894214;-0.00465327;0.00458141;-0.01022812;-0.00000262;-0.00056084;0.00002137 
0.24197459;63.74091673;-0.00463573;0.00457268;-0.01013681;0.00070676;-0.00116564;0.00402375 
0.24715018;63.98806691;-0.00463274;0.00456232;-0.01006854;-0.00057166;-0.00164526;0.00188960 
0.24705839;64.23512530;-0.00458557;0.00449815;-0.00998265;0.00018080;0.00026169;0.00200999 
0.24726868;64.48239398;-0.00459707;0.00446650;-0.00995125;-0.00025650;-0.00065060;0.00101028 
0.24752784;64.72992182;-0.00458200;0.00443695;-0.00993405;0.00027204;-0.00096458;0.00131677 
