deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.44199419 	41.90301323	-0.01269357	0.02553169	1.73581910	0.00014159	-0.00015014	-0.00120010	900	900	900	900
0.29013228 	42.19314551	-0.01268767	0.02545141	1.73585272	-0.00011762	0.00080289	0.00000832	900	900	900	900
0.21474671 	42.40789223	-0.01271332	0.02545043	1.73579395	-0.00123918	0.00209932	-0.00077513	900	900	900	900
0.20429397 	42.61218619	-0.01268705	0.02546701	1.73570466	-0.00087233	0.00038381	0.00175228	900	900	900	900
0.21516538 	42.82735157	-0.01267387	0.02547209	1.73556864	0.00070827	0.00089592	-0.00163414	900	900	900	900
0.21511388 	43.04246545	-0.01267359	0.02546072	1.73557341	-0.00063770	0.00105430	-0.00024801	900	900	900	900
0.22514033 	43.26760578	-0.01260536	0.02543344	1.73551714	0.00004303	0.00093744	0.00122365	900	900	900	900
0.19939375 	43.46699953	-0.01259393	0.02544552	1.73541439	0.00070081	0.00014259	0.00101977	900	900	900	900
0.22558618 	43.69258571	-0.01260441	0.02551406	1.73546195	0.00105960	0.00026320	-0.00184373	900	900	900	900
0.22033143 	43.91291714	-0.01262117	0.02546032	1.73555791	-0.00080251	0.00127360	-0.00349680	900	900	900	900
0.21525812 	44.12817526	-0.01259260	0.02547486	1.73572135	-0.00201727	-0.00011153	0.00117750	900	900	900	900
0.21484399 	44.34301925	-0.01250956	0.02551384	1.73569214	-0.00005950	-0.00092749	0.00117273	900	900	900	900
0.21492624 	44.55794549	-0.01256141	0.02546721	1.73570132	-0.00001736	0.00022356	-0.00146357	900	900	900	900
0.22001338 	44.77795887	-0.01248587	0.02548355	1.73575342	-0.00001219	0.00022434	-0.00013696	900	900	900	900
